LOC#,Site,Name,PilotIdentifierList,OperatorExtension,BusinessHoursWelcomeGreetingFilename,BusinessHoursMainMenuCustomPromptFilename,BusinessHoursKeyMapping,BusinessHoursKeyMappingEnabled,AfterHoursWelcomeGreetingFilename,AfterHoursMainMenuCustomPromptFilename,AfterHoursKeyMapping,AfterHoursKeyMappingEnabled
061, Chesterton El,061-UMAA-01-Main_Spanish,0,3021,silence.wav,0,"2,Attendance,3021,,,,,,,; 3,Office-Clerk,3021,,,,,,,; 4,HealthOffice,3050,,,,,,,; 6,PrincipalSecretary,3020,,,,,,,; -,Operator,3021,,,,,,,",TRUE,silence.wav,0,0,FALSE
061, Chesterton El,061-UMAA-01-Main_English,3000,3020,silence.wav,Chesterton-Main-9-23.wav,"2,Attendace,3020,,,,,,,; 4,HealthOffice,3050,,,,,,,; 5,PrincipalSecretary,3021,,,,,,,; 6,Counselor-Office,3056,,,,,,,; 7,Library,3070,,,,,,,; 8,CafeManager,3060,,,,,,,; -,Operator,3020,,,,,,,",TRUE,silence.wav,0,0,FALSE
808, Revere Center,808-UMAA-02-Main_English,0,0,silence2.wav,808Submenu1.wav,"1,VP,808083002,,,,,,,; 2,Principal,808083001,,,,,,,",TRUE,0,0,0,FALSE
808, Revere Center,808-UMAA-01-Main_English,808083590,0,808Main1.wav,808Main2.wav,"1,Attend,808083020,,,,,,,; 2,Nurse,808083050,,,,,,,; 3,Principal,,808-UMAA-02-Main_English,,,,,,; 4,Admin,808083501,,,,,,,",TRUE,0,0,0,FALSE
808, Revere Center,808-UMAA-02-Main_English,0,0,silence2.wav,808Submenu1.wav,"1,Principal,3001,,,,,,,; 2,VP,3002,,,,,,,",TRUE,0,0,0,FALSE
808, Revere Center,808-UMAA-01-Main_English,3500,0,808Main1.wav,808Main2.wav,"1,Attendance,3020,,,,,,,; 2,Nurse,3050,,,,,,,; 3,Principal,,808-UMAA-02-Main_English,,,,,,; 4,Administrator,3501,,,,,,,",TRUE,0,0,0,FALSE
332, Clairemont HS,332-UMAA-08-Admistrative-Aide-Spanish,0,3020,silence2.wav,332-UMAA-08-AdminAide-Spanish-2021.wav,"1,Heidi Fulton,3024,,,,,,,; 2,Gina Turner,3022,,,,,,,",TRUE,silence2.wav,0,0,FALSE
332, Clairemont HS,332-UMAA-08-Admistrative-English,0,0,silence2.wav,332-UMAA-08-AdminAide-English-2021.wav,"1,Heidi Fulton,3024,,,,,,,; 2,Gina Turner,3022,,,,,,,",TRUE,silence2.wav,0,0,FALSE
332, Clairemont HS,332-UMAA-07-TechSuport-Finance-Registrar-English,0,0,silence2.wav,332-UMAA-07-Tech-Regristar-English-2021.wav,"1,Tech Support,3025,,,,,,,; 2,Finacial Clerk,3026,,,,,,,; 3,Regristar,2201,,,,,,,",TRUE,silence2.wav,0,0,FALSE
332, Clairemont HS,332-UMAA-07-TechSuport-Finance-Registrar-Spanish,0,3020,silence2.wav,332-UMAA-07-Tech-Regristar-Spanish-2021.wav,"1,Tech Support,3025,,,,,,,; 2,Finacial Clerk,3026,,,,,,,; 3,Registrar,2201,,,,,,,",TRUE,0,0,0,FALSE
332, Clairemont HS,332-UMAA-06-Enrollment-English,0,0,silence2.wav,332-UMAA-06-Enrollment-English-2021.wav,"1,Enrollment Students A-E,2201,,,,,,,; 2,Enrollment Students F-L,3024,,,,,,,; 3,Enrollment Students M-Q,3020,,,,,,,; 4,Enrollment Students R-Z,3025,,,,,,,",TRUE,silence2.wav,0,0,FALSE
332, Clairemont HS,332-UMAA-06-Enrollment-Spanish,0,3020,silence2.wav,332-UMAA-06-Enrollment-Spanish-2021.wav,"1,Enrollment Students A-E,2201,,,,,,,; 2,Enrollment Students F-L,3024,,,,,,,; 3,Enrollment Students M-Q,3020,,,,,,,; 4,Enrollment Students R-Z,3025,,,,,,,",TRUE,silence2.wav,0,0,FALSE
332, Clairemont HS,332-UMAA-01-Main_English,3000,6003,silence.wav,332-UMAA-01-Main-English-2021.wav,"1,Main-Spanish,,332-UMAA-01-Main_Spanish,,,,,,; 2,Attendance,3020,,,,,,,; 3,Front Office,3020,,,,,,,; 4,Health,3050,,,,,,,; 5,Counselors,,332-Counl_English,,,,,,; 6,Enrollment,,332-UMAA-06-Enrollment-English,,,,,,; 7,Tech Support Regristar Finance,,332-UMAA-07-TechSuport-Finance-Registrar-English,,,,,,; 8,Administrative Aide,,332-UMAA-08-Admistrative-English,,,,,,; 9,Administrators,,332-VP_English,,,,,,",TRUE,silence.wav,0,0,FALSE
332, Clairemont HS,332-UMAA-01-Main_Spanish,0,6003,silence.wav,332-UMAA-01-Main-Spanish-Main-2021.wav,"2,Attendance,3020,,,,,,,; 3,Front Office,3020,,,,,,,; 4,Health,3050,,,,,,,; 5,Counselors,,332-Counl_Spanish,,,,,,; 6,Enrollment,,332-UMAA-06-Enrollment-Spanish,,,,,,; 7,Tech SupportFinance and Registrar,,332-UMAA-07-TechSuport-Finance-Registrar-Spanish,,,,,,; 8,Administrative Aide,,332-UMAA-08-Admistrative-Aide-Spanish,,,,,,; 9,Administrators,,332-VP_Spanish,,,,,,",TRUE,silence.wav,0,0,FALSE
332, Clairemont HS,332-Counl_English,0,3020,silence.wav,332-UMAA-05-Counselor-English-2021.wav,"1,For Students A-Le,3056,,,,,,,; 2,For Students Li-Z,3055,,,,,,,",TRUE,silence.wav,0,0,FALSE
332, Clairemont HS,332-VP_English,0,6003,silence.wav,332-UMAA-09-Admin-English-2021.wav,"1,StudentA-L,3002,,,,,,,; 2,StudentM-Z,3003,,,,,,,; 3,Principal,3001,,,,,,,",TRUE,silence.wav,0,0,FALSE
332, Clairemont HS,332-VP_Spanish,0,6003,silence.wav,332-UMAA-09-Admin-Spanish-2021.wav,"1,VP-StudentA-L,3002,,,,,,,; 2,VP-StudentM-Z,3003,,,,,,,; 3,Principal,3001,,,,,,,",TRUE,silence.wav,0,0,FALSE
332, Clairemont HS,332-Counl_Spanish,0,3020,silence.wav,332-UMAA-05-Counselor-Spanish-2021.wav,"1,Students A-Le,3056,,,,,,,; 2,Students Li-Z,3055,,,,,,,",TRUE,silence.wav,0,0,FALSE
307,#N/A,307-UMAA-01-Main_English,803073000,3023,silence.wav,307CPMA Main English 2024.wav,"1,Front desk,803073023,,,,,,,; 2,Attendance,803073021,,,,,,,; 3,Admin Team,803073011,,,,,,,; 4,6th Grade Counselor,803073052,,,,,,,; 5,7th Grade Counselor,803073024,,,,,,,; 6,8th Grade Counselor,803073055,,,,,,,; 7,Operator,803076003,,,,,,,",,silence.wav,silence.wav,"-,Closed Auto Attendant,,307-UMAA-03-Main_English_Night,,,,,,",TRUE
307,#N/A,307-UMAA-01-Main_Spanish,0,803073000,silence.wav,307-UMAA-01-Spanish_Main.wav,"1,Attendance,803073021,,,,,,,; 2,Transportation,803072291,,,,,,,; 3,Counseling_Rubin,803073055,,,,,,,; 4,Dunphy,803073024,,,,,,,; 5,Admin Assistant,803073011,,,,,,,; 6,Nurse,803073050,,,,,,,; 7,Cafeteria,803073060,,,,,,,; 8,Operator,803076010,,,,,,,",TRUE,silence.wav,0,0,FALSE
307,#N/A,307-UMAA-03-Counselors-English-&-Spanish,0,0,silence.wav,307-UMAA-03-Counselors-English-&-Spanish-2020.wav,"1,Counselor 1 6th & 7th Grade,803073026,,,,,,,; 2,Counselor 2 8th & 7th grade,803073055,,,,,,,; 3,Main Menu,,307-UMAA-01-Main_English,,,,,,",TRUE,silence.wav,0,0,FALSE
307,#N/A,307-UMAA-02-General-Information-English-&-Spanish-2020,0,0,silence.wav,307-UMAA-02-General-Information-English-&-Spanish-2020.wav,"1,General School Mailbox,803073990,,,,,,,; 2,Main Menu,,307-UMAA-01-Main_English,,,,,,",TRUE,silence.wav,0,0,FALSE
